x y z nx ny nz
0.182361 -0.607914 -0.168601 0.000479 -0.011339 0.999936
0.187390 -0.607955 -0.168603 0.000479 -0.011339 0.999936
0.192418 -0.607997 -0.168606 0.000479 -0.011339 0.999936
0.197447 -0.608038 -0.168609 0.000479 -0.011339 0.999936
0.202475 -0.608079 -0.168612 0.000479 -0.011339 0.999936
0.207504 -0.608120 -0.168615 0.000479 -0.011339 0.999936
0.212533 -0.608162 -0.168618 0.000479 -0.011339 0.999936
0.217561 -0.608203 -0.168621 0.000479 -0.011339 0.999936
0.219564 -0.593220 -0.168452 0.000479 -0.011339 0.999936
0.214551 -0.593179 -0.168449 0.000479 -0.011339 0.999936
0.209538 -0.593137 -0.168446 0.000479 -0.011339 0.999936
0.204526 -0.593096 -0.168443 0.000479 -0.011339 0.999936
0.199513 -0.593055 -0.168440 0.000479 -0.011339 0.999936
0.194500 -0.593014 -0.168437 0.000479 -0.011339 0.999936
0.189488 -0.592973 -0.168435 0.000479 -0.011339 0.999936
0.184475 -0.592932 -0.168432 0.000479 -0.011339 0.999936
0.179462 -0.592891 -0.168429 0.000479 -0.011339 0.999936
0.174450 -0.592850 -0.168426 0.000479 -0.011339 0.999936
0.169437 -0.592808 -0.168423 0.000479 -0.011339 0.999936
0.164424 -0.592767 -0.168420 0.000479 -0.011339 0.999936
0.159412 -0.592726 -0.168417 0.000479 -0.011339 0.999936
0.154399 -0.592685 -0.168414 0.000479 -0.011339 0.999936
0.149386 -0.592644 -0.168412 0.000479 -0.011339 0.999936
0.144374 -0.592603 -0.168409 0.000479 -0.011339 0.999936
0.139361 -0.592562 -0.168406 0.000479 -0.011339 0.999936
0.134348 -0.592521 -0.168403 0.000479 -0.011339 0.999936
0.129336 -0.592480 -0.168400 0.000479 -0.011339 0.999936
0.124323 -0.592438 -0.168397 0.000479 -0.011339 0.999936
0.119310 -0.592397 -0.168394 0.000479 -0.011339 0.999936
0.114298 -0.592356 -0.168392 0.000479 -0.011339 0.999936
0.109285 -0.592315 -0.168389 0.000479 -0.011339 0.999936
0.104272 -0.592274 -0.168386 0.000479 -0.011339 0.999936
0.099260 -0.592233 -0.168383 0.000479 -0.011339 0.999936
0.094247 -0.592192 -0.168380 0.000479 -0.011339 0.999936
0.089234 -0.592151 -0.168377 0.000479 -0.011339 0.999936
0.084222 -0.592109 -0.168374 0.000479 -0.011339 0.999936
0.079209 -0.592068 -0.168371 0.000479 -0.011339 0.999936
0.074196 -0.592027 -0.168369 0.000479 -0.011339 0.999936
0.069184 -0.591986 -0.168366 0.000479 -0.011339 0.999936
0.064171 -0.591945 -0.168363 0.000479 -0.011339 0.999936
0.059158 -0.591904 -0.168360 0.000479 -0.011339 0.999936
0.054145 -0.591863 -0.168357 0.000479 -0.011339 0.999936
0.049133 -0.591822 -0.168354 0.000479 -0.011339 0.999936
0.044120 -0.591781 -0.168351 0.000479 -0.011339 0.999936
0.039107 -0.591739 -0.168349 0.000479 -0.011339 0.999936
0.034095 -0.591698 -0.168346 0.000479 -0.011339 0.999936
0.029082 -0.591657 -0.168343 0.000479 -0.011339 0.999936
0.024069 -0.591616 -0.168340 0.000479 -0.011339 0.999936
0.019057 -0.591575 -0.168337 0.000479 -0.011339 0.999936
0.014044 -0.591534 -0.168334 0.000479 -0.011339 0.999936
0.009031 -0.591493 -0.168331 0.000479 -0.011339 0.999936
0.004019 -0.591452 -0.168328 0.000479 -0.011339 0.999936
-0.000994 -0.591410 -0.168326 0.000479 -0.011339 0.999936
-0.006007 -0.591369 -0.168323 0.000479 -0.011339 0.999936
-0.011019 -0.591328 -0.168320 0.000479 -0.011339 0.999936
-0.016032 -0.591287 -0.168317 0.000479 -0.011339 0.999936
-0.021045 -0.591246 -0.168314 0.000479 -0.011339 0.999936
-0.026057 -0.591205 -0.168311 0.000479 -0.011339 0.999936
-0.031070 -0.591164 -0.168308 0.000479 -0.011339 0.999936
-0.036083 -0.591123 -0.168306 0.000479 -0.011339 0.999936
-0.041095 -0.591081 -0.168303 0.000479 -0.011339 0.999936
-0.046108 -0.591040 -0.168300 0.000479 -0.011339 0.999936
-0.051121 -0.590999 -0.168297 0.000479 -0.011339 0.999936
-0.056133 -0.590958 -0.168294 0.000479 -0.011339 0.999936
-0.061146 -0.590917 -0.168291 0.000479 -0.011339 0.999936
-0.066159 -0.590876 -0.168288 0.000479 -0.011339 0.999936
-0.071171 -0.590835 -0.168285 0.000479 -0.011339 0.999936
-0.076184 -0.590794 -0.168283 0.000479 -0.011339 0.999936
-0.081197 -0.590753 -0.168280 0.000479 -0.011339 0.999936
-0.086209 -0.590711 -0.168277 0.000479 -0.011339 0.999936
-0.091222 -0.590670 -0.168274 0.000479 -0.011339 0.999936
-0.096235 -0.590629 -0.168271 0.000479 -0.011339 0.999936
-0.101247 -0.590588 -0.168268 0.000479 -0.011339 0.999936
-0.106260 -0.590547 -0.168265 0.000479 -0.011339 0.999936
-0.111273 -0.590506 -0.168263 0.000479 -0.011339 0.999936
-0.116285 -0.590465 -0.168260 0.000479 -0.011339 0.999936
-0.121298 -0.590424 -0.168257 0.000479 -0.011339 0.999936
-0.126311 -0.590382 -0.168254 0.000479 -0.011339 0.999936
-0.131323 -0.590341 -0.168251 0.000479 -0.011339 0.999936
-0.136336 -0.590300 -0.168248 0.000479 -0.011339 0.999936
-0.141349 -0.590259 -0.168245 0.000479 -0.011339 0.999936
-0.146361 -0.590218 -0.168242 0.000479 -0.011339 0.999936
-0.151374 -0.590177 -0.168240 0.000479 -0.011339 0.999936
-0.156387 -0.590136 -0.168237 0.000479 -0.011339 0.999936
-0.161400 -0.590095 -0.168234 0.000479 -0.011339 0.999936
-0.166412 -0.590054 -0.168231 0.000479 -0.011339 0.999936
-0.171425 -0.590012 -0.168228 0.000479 -0.011339 0.999936
-0.176438 -0.589971 -0.168225 0.000479 -0.011339 0.999936
-0.181450 -0.589930 -0.168222 0.000479 -0.011339 0.999936
-0.186463 -0.589889 -0.168219 0.000479 -0.011339 0.999936
-0.191476 -0.589848 -0.168217 0.000479 -0.011339 0.999936
-0.196488 -0.589807 -0.168214 0.000479 -0.011339 0.999936
-0.201501 -0.589766 -0.168211 0.000479 -0.011339 0.999936
-0.206514 -0.589725 -0.168208 0.000479 -0.011339 0.999936
-0.211526 -0.589683 -0.168205 0.000479 -0.011339 0.999936
-0.216539 -0.589642 -0.168202 0.000479 -0.011339 0.999936
-0.221552 -0.589601 -0.168199 0.000479 -0.011339 0.999936
-0.226564 -0.589560 -0.168197 0.000479 -0.011339 0.999936
-0.231577 -0.589519 -0.168194 0.000479 -0.011339 0.999936
-0.236590 -0.589478 -0.168191 0.000479 -0.011339 0.999936
-0.241602 -0.589437 -0.168188 0.000479 -0.011339 0.999936
-0.246615 -0.589396 -0.168185 0.000479 -0.011339 0.999936
-0.251628 -0.589355 -0.168182 0.000479 -0.011339 0.999936
-0.256640 -0.589313 -0.168179 0.000479 -0.011339 0.999936
-0.261653 -0.589272 -0.168176 0.000479 -0.011339 0.999936
-0.266666 -0.589231 -0.168174 0.000479 -0.011339 0.999936
-0.271678 -0.589190 -0.168171 0.000479 -0.011339 0.999936
-0.276691 -0.589149 -0.168168 0.000479 -0.011339 0.999936
-0.281704 -0.589108 -0.168165 0.000479 -0.011339 0.999936
-0.286716 -0.589067 -0.168162 0.000479 -0.011339 0.999936
-0.288128 -0.574056 -0.167991 0.000479 -0.011339 0.999936
-0.283093 -0.574097 -0.167994 0.000479 -0.011339 0.999936
-0.278057 -0.574138 -0.167997 0.000479 -0.011339 0.999936
-0.273021 -0.574180 -0.168000 0.000479 -0.011339 0.999936
-0.267985 -0.574221 -0.168003 0.000479 -0.011339 0.999936
-0.262950 -0.574262 -0.168006 0.000479 -0.011339 0.999936
-0.257914 -0.574303 -0.168009 0.000479 -0.011339 0.999936
-0.252878 -0.574345 -0.168011 0.000479 -0.011339 0.999936
-0.247842 -0.574386 -0.168014 0.000479 -0.011339 0.999936
-0.242807 -0.574427 -0.168017 0.000479 -0.011339 0.999936
-0.237771 -0.574469 -0.168020 0.000479 -0.011339 0.999936
-0.232735 -0.574510 -0.168023 0.000479 -0.011339 0.999936
-0.227699 -0.574551 -0.168026 0.000479 -0.011339 0.999936
-0.222664 -0.574593 -0.168029 0.000479 -0.011339 0.999936
-0.217628 -0.574634 -0.168032 0.000479 -0.011339 0.999936
-0.212592 -0.574675 -0.168034 0.000479 -0.011339 0.999936
