x y z nx ny nz
-0.109382 -0.419994 -0.095238 0.019852 -0.844495 0.535196
-0.119083 -0.420391 -0.095238 0.014866 -0.847920 0.529916
-0.128292 -0.420643 -0.095238 -0.003217 -0.853236 0.521515
-0.137486 -0.420281 -0.095238 -0.029693 -0.860665 0.508306
-0.146943 -0.419550 -0.095238 -0.039764 -0.866683 0.497271
-0.155818 -0.418768 -0.095238 -0.035449 -0.870091 0.491614
-0.164208 -0.418402 -0.095238 -0.009363 -0.866832 0.498512
-0.173121 -0.418687 -0.095238 0.010293 -0.865009 0.501651
-0.183938 -0.419328 -0.095238 0.035928 -0.856853 0.514308
-0.195286 -0.419979 -0.095238 0.032848 -0.849222 0.527013
-0.204974 -0.420284 -0.095238 0.015046 -0.845020 0.534522
-0.212475 -0.420349 -0.095238 0.003097 -0.842789 0.538235
-0.218293 -0.420322 -0.095238 0.000946 -0.842693 0.538394
-0.223593 -0.420280 -0.095238 -0.001880 -0.843346 0.537368
-0.228881 -0.420243 -0.095238 -0.004201 -0.843639 0.536894
-0.234745 -0.420157 -0.095238 -0.008040 -0.844593 0.535348
-0.241691 -0.420083 -0.095238 -0.011214 -0.846162 0.532808
-0.249196 -0.420008 -0.095238 -0.015793 -0.848701 0.528637
-0.256957 -0.419974 -0.095238 -0.023397 -0.848409 0.528823
-0.264165 -0.419876 -0.095238 -0.026544 -0.843915 0.535820
-0.271089 -0.419737 -0.095238 -0.030953 -0.837449 0.545639
-0.277453 -0.419587 -0.095238 -0.020837 -0.822676 0.568129
-0.283847 -0.419208 -0.095238 -0.016855 -0.806453 0.591058
-0.290533 -0.418937 -0.095238 0.017638 -0.787521 0.616036
-0.297995 -0.418872 -0.095238 0.097011 -0.758284 0.644666
-0.304889 -0.420080 -0.095238 0.208631 -0.716797 0.665339
-0.310556 -0.421503 -0.095238 0.236020 -0.705277 0.668489
-0.314722 -0.423793 -0.095238 0.279327 -0.687934 0.669869
-0.318610 -0.425336 -0.095238 0.346315 -0.653864 0.672701
-0.322608 -0.428126 -0.095238 0.407780 -0.624007 0.666582
-0.326611 -0.431061 -0.095238 0.503081 -0.566014 0.653099
-0.330673 -0.435783 -0.095238 0.529219 -0.545715 0.649710
-0.334995 -0.441147 -0.095238 0.592959 -0.486235 0.641853
-0.339300 -0.447463 -0.095238 0.665738 -0.366536 0.649958
